content,content_clean
Bagaimana mengatasi penyimpangan yang sudah full? Sudah saya hapus tapi tidak bisa karena masa periode nya masih berlaku,Bagaimana mengatasi penyimpangan yang sudah full Sudah saya hapus tapi tidak bisa karena masa periode nya masih berlaku
Aplikasinya bagus sekali Bisa membantu mahasiswa dalam kegiatan perkuliahan,Aplikasinya bagus sekali Bisa membantu mahasiswa dalam kegiatan perkuliahan
Sangat bagus,Sangat bagus
Good,Good
Masih banyak tab yang bug tolong di rapihkan kembali terimakasih,Masih banyak tab yang bug tolong di rapihkan kembali terimakasih
"Mohon min. Untuk pembagian kelompoknya jangan sesuai abjad, semoga ada perubahannya dan ratingnya nanti bagus",Mohon min Untuk pembagian kelompoknya jangan sesuai abjad semoga ada perubahannya dan ratingnya nanti bagus
Good,Good
ngebug wktu quiz padahal jaringan aman aman saja,ngebug wktu quiz padahal jaringan aman aman saja
Bug nya banyak banget bikin risih,Bug nya banyak banget bikin risih
Kasih bintang 5 dah biar uts lancar,Kasih bintang  dah biar uts lancar
Jelek. Submit file gak ke upload,Jelek Submit file gak ke upload
"kok akun saya tiba-tiba keluar sendiri dari apk nya padahal ngga di apa-apain, pas masuk lagi malah semua data-datanya pada ilang, gimana nih min tolong dong ini saya gimana mau ngikutin perkuliahan🙏😭 sekarang sudah jadi",kok akun saya tibatiba keluar sendiri dari apk nya padahal ngga di apaapain pas masuk lagi malah semua datadatanya pada ilang gimana nih min tolong dong ini saya gimana mau ngikutin perkuliahan sekarang sudah jadi
Cs nya bagus cepat dan tanggap👍👍👍,Cs nya bagus cepat dan tanggap
"Sudah oke. Namun masih bug. Bug nya adalah: saya login sbg dosen. Lalu create schedulled meeting room utk sabtu jam 16.00. Meeting singkron dgn google kalendar, tapi schedule di kalendar nya malah muncul untuk hari ini jam 16.00.",Sudah oke Namun masih bug Bug nya adalah saya login sbg dosen Lalu create schedulled meeting room utk sabtu jam  Meeting singkron dgn google kalendar tapi schedule di kalendar nya malah muncul untuk hari ini jam
ga ada yg bisa kami akan bantu ya no mt tepatin ini eeee req RT ya rabb eeee eeeeeeeeeeeeertrre errr error Ree rumah sakit te rezeki kita sebenarnya r by the way you ewh ee nakal ya,ga ada yg bisa kami akan bantu ya no mt tepatin ini eeee req ya rabb eeee eeeeeeeeeeeeertrre errr error Ree rumah sakit te rezeki kita sebenarnya r by the way you ewh ee nakal ya
Very Good,Very Good
Hallo kak saya punya ni tidak bisa dibuka lagi itu kendalanya apa yah kak??minta bantuannya kak🙏🙏,Hallo kak saya punya ni tidak bisa dibuka lagi itu kendalanya apa yah kakminta bantuannya kak
Perbaiki bug tiba tiba tidak bisa mengunduh dan Untuk presensi QR Barcode/absensi Adakan fitur ambil gambar dari galeri,Perbaiki bug tiba tiba tidak bisa mengunduh dan Untuk presensi QR Barcodeabsensi Adakan fitur ambil gambar dari galeri
"Padahal postingan dosen kok dikirim notif juga ke mahasiswa saat ada yang menanggapi postingan tersebut, ganggu",Padahal postingan dosen kok dikirim notif juga ke mahasiswa saat ada yang menanggapi postingan tersebut ganggu
TAMBAHKAN FITUR ZOOM UNTUK ABSENSI TOLONGGGG DI PRESENSI QR AGAR SAAT ABSEN TIAK HARUS KEDEPAN,TAMBAHKAN FITUR ZOOM UNTUK ABSENSI TOLONGGGG DI PRESENSI QR AGAR SAAT ABSEN TIAK HARUS KEDEPAN
"Kok selalu jaringan bermasalah ya? Padahal jaringan saya lancar, jadi saya tidak mengumpul tugas dengan tepat waktu. Mohon perbaiki lagi apknya.",Kok selalu jaringan bermasalah ya Padahal jaringan saya lancar jadi saya tidak mengumpul tugas dengan tepat waktu Mohon perbaiki lagi apknya
"Kok gak bisa ke buka aplikasi, katanya ""gak ada koneksi internet"" padahal udah forji jaringannya",Kok gak bisa ke buka aplikasi katanya gak ada koneksi internet padahal udah forji jaringannya
"Udah hadir 3 pertemuan scane code tetep keterangan nya 0 0 0 0 Terus notif telat muncul, jadwal ngaco dll Apk ini masih prematur udah launching jadi gini dah, bukanya mempermudah malah ribet",Udah hadir  pertemuan scane code tetep keterangan nya     Terus notif telat muncul jadwal ngaco dll Apk ini masih prematur udah launching jadi gini dah bukanya mempermudah malah ribet
"Kok gini amat apkx,,masalah koneksi truss pdahl jriganku bgus lo",Kok gini amat apkxmasalah koneksi truss pdahl jriganku bgus lo
