content,content_clean,content_preprocessing
Bagaimana mengatasi penyimpangan yang sudah full? Sudah saya hapus tapi tidak bisa karena masa periode nya masih berlaku,bagaimana mengatasi penyimpangan yang sudah full sudah saya hapus tapi tidak bisa karena masa periode nya masih berlaku,"['bagaimana', 'mengatasi', 'penyimpangan', 'full', 'hapus', 'masa', 'periode', 'nya', 'berlaku']"
Aplikasinya bagus sekali Bisa membantu mahasiswa dalam kegiatan perkuliahan,aplikasinya bagus sekali bisa membantu mahasiswa dalam kegiatan perkuliahan,"['aplikasinya', 'bagus', 'sekali', 'membantu', 'mahasiswa', 'kegiatan', 'perkuliahan']"
Sangat bagus,sangat bagus,"['sangat', 'bagus']"
Good,good,['good']
Masih banyak tab yang bug tolong di rapihkan kembali terimakasih,masih banyak tab yang bug tolong di rapihkan kembali terimakasih,"['banyak', 'tab', 'bug', 'rapihkan', 'terimakasih']"
"Mohon min. Untuk pembagian kelompoknya jangan sesuai abjad, semoga ada perubahannya dan ratingnya nanti bagus",mohon min untuk pembagian kelompoknya jangan sesuai abjad semoga ada perubahannya dan ratingnya nanti bagus,"['mohon', 'min', 'pembagian', 'kelompoknya', 'jangan', 'sesuai', 'abjad', 'semoga', 'perubahannya', 'ratingnya', 'bagus']"
Good,good,['good']
ngebug wktu quiz padahal jaringan aman aman saja,ngebug wktu quiz padahal jaringan aman aman saja,"['ngebug', 'wktu', 'quiz', 'padahal', 'jaringan', 'aman', 'aman']"
Bug nya banyak banget bikin risih,bug nya banyak banget bikin risih,"['bug', 'nya', 'banyak', 'banget', 'bikin', 'risih']"
Kasih bintang 5 dah biar uts lancar,kasih bintang  dah biar uts lancar,"['kasih', 'bintang', 'dah', 'biar', 'uts', 'lancar']"
Jelek. Submit file gak ke upload,jelek submit file gak ke upload,"['jelek', 'submit', 'file', 'gak', 'upload']"
"kok akun saya tiba-tiba keluar sendiri dari apk nya padahal ngga di apa-apain, pas masuk lagi malah semua data-datanya pada ilang, gimana nih min tolong dong ini saya gimana mau ngikutin perkuliahan🙏😭 sekarang sudah jadi",kok akun saya tibatiba keluar sendiri dari apk nya padahal ngga di apaapain pas masuk lagi malah semua datadatanya pada ilang gimana nih min tolong dong ini saya gimana mau ngikutin perkuliahan sekarang sudah jadi,"['kok', 'akun', 'tibatiba', 'keluar', 'sendiri', 'apk', 'nya', 'padahal', 'ngga', 'apaapain', 'pas', 'masuk', 'malah', 'semua', 'datadatanya', 'ilang', 'gimana', 'nih', 'min', 'dong', 'gimana', 'mau', 'ngikutin', 'perkuliahan', 'sekarang', 'jadi']"
Cs nya bagus cepat dan tanggap👍👍👍,cs nya bagus cepat dan tanggap,"['cs', 'nya', 'bagus', 'cepat', 'tanggap']"
"Sudah oke. Namun masih bug. Bug nya adalah: saya login sbg dosen. Lalu create schedulled meeting room utk sabtu jam 16.00. Meeting singkron dgn google kalendar, tapi schedule di kalendar nya malah muncul untuk hari ini jam 16.00.",sudah oke namun masih bug bug nya adalah saya login sbg dosen lalu create schedulled meeting room utk sabtu jam  meeting singkron dgn google kalendar tapi schedule di kalendar nya malah muncul untuk hari ini jam,"['oke', 'bug', 'bug', 'nya', 'login', 'sbg', 'dosen', 'lalu', 'create', 'schedulled', 'meeting', 'room', 'utk', 'sabtu', 'jam', 'meeting', 'singkron', 'dgn', 'google', 'kalendar', 'schedule', 'kalendar', 'nya', 'malah', 'muncul', 'hari', 'jam']"
ga ada yg bisa kami akan bantu ya no mt tepatin ini eeee req RT ya rabb eeee eeeeeeeeeeeeertrre errr error Ree rumah sakit te rezeki kita sebenarnya r by the way you ewh ee nakal ya,ga ada yg bisa kami akan bantu ya no mt tepatin ini eeee req ya rabb eeee eeeeeeeeeeeeertrre errr error ree rumah sakit te rezeki kita sebenarnya r by the way you ewh ee nakal ya,"['ga', 'yg', 'bantu', 'no', 'mt', 'tepatin', 'eeee', 'req', 'rabb', 'eeee', 'eeeeeeeeeeeeertrre', 'errr', 'error', 'ree', 'rumah', 'sakit', 'te', 'rezeki', 'sebenarnya', 'r', 'by', 'the', 'way', 'you', 'ewh', 'ee', 'nakal']"
Very Good,very good,"['very', 'good']"
Hallo kak saya punya ni tidak bisa dibuka lagi itu kendalanya apa yah kak??minta bantuannya kak🙏🙏,hallo kak saya punya ni tidak bisa dibuka lagi itu kendalanya apa yah kakminta bantuannya kak,"['hallo', 'kak', 'punya', 'ni', 'dibuka', 'kendalanya', 'apa', 'yah', 'kakminta', 'bantuannya', 'kak']"
Perbaiki bug tiba tiba tidak bisa mengunduh dan Untuk presensi QR Barcode/absensi Adakan fitur ambil gambar dari galeri,perbaiki bug tiba tiba tidak bisa mengunduh dan untuk presensi qr barcodeabsensi adakan fitur ambil gambar dari galeri,"['perbaiki', 'bug', 'tiba', 'tiba', 'mengunduh', 'presensi', 'qr', 'barcodeabsensi', 'adakan', 'fitur', 'ambil', 'gambar', 'galeri']"
"Padahal postingan dosen kok dikirim notif juga ke mahasiswa saat ada yang menanggapi postingan tersebut, ganggu",padahal postingan dosen kok dikirim notif juga ke mahasiswa saat ada yang menanggapi postingan tersebut ganggu,"['padahal', 'postingan', 'dosen', 'kok', 'dikirim', 'notif', 'mahasiswa', 'menanggapi', 'postingan', 'tersebut', 'ganggu']"
TAMBAHKAN FITUR ZOOM UNTUK ABSENSI TOLONGGGG DI PRESENSI QR AGAR SAAT ABSEN TIAK HARUS KEDEPAN,tambahkan fitur zoom untuk absensi tolongggg di presensi qr agar saat absen tiak harus kedepan,"['tambahkan', 'fitur', 'zoom', 'absensi', 'tolongggg', 'presensi', 'qr', 'absen', 'tiak', 'kedepan']"
"Kok selalu jaringan bermasalah ya? Padahal jaringan saya lancar, jadi saya tidak mengumpul tugas dengan tepat waktu. Mohon perbaiki lagi apknya.",kok selalu jaringan bermasalah ya padahal jaringan saya lancar jadi saya tidak mengumpul tugas dengan tepat waktu mohon perbaiki lagi apknya,"['kok', 'selalu', 'jaringan', 'bermasalah', 'padahal', 'jaringan', 'lancar', 'jadi', 'mengumpul', 'tugas', 'tepat', 'waktu', 'mohon', 'perbaiki', 'apknya']"
"Kok gak bisa ke buka aplikasi, katanya ""gak ada koneksi internet"" padahal udah forji jaringannya",kok gak bisa ke buka aplikasi katanya gak ada koneksi internet padahal udah forji jaringannya,"['kok', 'gak', 'buka', 'aplikasi', 'katanya', 'gak', 'koneksi', 'internet', 'padahal', 'udah', 'forji', 'jaringannya']"
"Udah hadir 3 pertemuan scane code tetep keterangan nya 0 0 0 0 Terus notif telat muncul, jadwal ngaco dll Apk ini masih prematur udah launching jadi gini dah, bukanya mempermudah malah ribet",udah hadir  pertemuan scane code tetep keterangan nya     terus notif telat muncul jadwal ngaco dll apk ini masih prematur udah launching jadi gini dah bukanya mempermudah malah ribet,"['udah', 'hadir', 'pertemuan', 'scane', 'code', 'tetep', 'keterangan', 'nya', 'terus', 'notif', 'telat', 'muncul', 'jadwal', 'ngaco', 'apk', 'prematur', 'udah', 'launching', 'jadi', 'gini', 'dah', 'bukanya', 'mempermudah', 'malah', 'ribet']"
"Kok gini amat apkx,,masalah koneksi truss pdahl jriganku bgus lo",kok gini amat apkxmasalah koneksi truss pdahl jriganku bgus lo,"['kok', 'gini', 'apkxmasalah', 'koneksi', 'truss', 'pdahl', 'jriganku', 'bgus', 'lo']"
"Halo! Saya mau bertanya, kenapa jadwal di kalender edlink saya gak muncul ya? jadi kalo mau liat jadwal keseluruhan susah, mohon tanggapannya.",halo saya mau bertanya kenapa jadwal di kalender edlink saya gak muncul ya jadi kalo mau liat jadwal keseluruhan susah mohon tanggapannya,"['halo', 'mau', 'bertanya', 'jadwal', 'kalender', 'edlink', 'gak', 'muncul', 'jadi', 'kalo', 'mau', 'liat', 'jadwal', 'keseluruhan', 'susah', 'mohon', 'tanggapannya']"
"Ini gimana ya? Makin jelek edlink skrng, pdhl kemarin sudah membayar di bank, tpi keterangan transaksi belum berhasil",ini gimana ya makin jelek edlink skrng pdhl kemarin sudah membayar di bank tpi keterangan transaksi belum berhasil,"['gimana', 'makin', 'jelek', 'edlink', 'skrng', 'pdhl', 'kemarin', 'membayar', 'bank', 'tpi', 'keterangan', 'transaksi', 'berhasil']"
