content,content_clean,content_preprocessing
Bagaimana mengatasi penyimpangan yang sudah full? Sudah saya hapus tapi tidak bisa karena masa periode nya masih berlaku,bagaimana mengatasi penyimpangan yang sudah full sudah saya hapus tapi tidak bisa karena masa periode nya masih berlaku,"['bagaimana', 'mengatasi', 'penyimpangan', 'yang', 'sudah', 'full', 'sudah', 'saya', 'hapus', 'tapi', 'tidak', 'bisa', 'karena', 'masa', 'periode', 'nya', 'masih', 'berlaku']"
Aplikasinya bagus sekali Bisa membantu mahasiswa dalam kegiatan perkuliahan,aplikasinya bagus sekali bisa membantu mahasiswa dalam kegiatan perkuliahan,"['aplikasinya', 'bagus', 'sekali', 'bisa', 'membantu', 'mahasiswa', 'dalam', 'kegiatan', 'perkuliahan']"
Sangat bagus,sangat bagus,"['sangat', 'bagus']"
Good,good,['good']
Masih banyak tab yang bug tolong di rapihkan kembali terimakasih,masih banyak tab yang bug tolong di rapihkan kembali terimakasih,"['masih', 'banyak', 'tab', 'yang', 'bug', 'tolong', 'di', 'rapihkan', 'kembali', 'terimakasih']"
"Mohon min. Untuk pembagian kelompoknya jangan sesuai abjad, semoga ada perubahannya dan ratingnya nanti bagus",mohon min untuk pembagian kelompoknya jangan sesuai abjad semoga ada perubahannya dan ratingnya nanti bagus,"['mohon', 'min', 'untuk', 'pembagian', 'kelompoknya', 'jangan', 'sesuai', 'abjad', 'semoga', 'ada', 'perubahannya', 'dan', 'ratingnya', 'nanti', 'bagus']"
Good,good,['good']
ngebug wktu quiz padahal jaringan aman aman saja,ngebug wktu quiz padahal jaringan aman aman saja,"['ngebug', 'wktu', 'quiz', 'padahal', 'jaringan', 'aman', 'aman', 'saja']"
Bug nya banyak banget bikin risih,bug nya banyak banget bikin risih,"['bug', 'nya', 'banyak', 'banget', 'bikin', 'risih']"
Kasih bintang 5 dah biar uts lancar,kasih bintang  dah biar uts lancar,"['kasih', 'bintang', 'dah', 'biar', 'uts', 'lancar']"
Jelek. Submit file gak ke upload,jelek submit file gak ke upload,"['jelek', 'submit', 'file', 'gak', 'ke', 'upload']"
"kok akun saya tiba-tiba keluar sendiri dari apk nya padahal ngga di apa-apain, pas masuk lagi malah semua data-datanya pada ilang, gimana nih min tolong dong ini saya gimana mau ngikutin perkuliahan🙏😭 sekarang sudah jadi",kok akun saya tibatiba keluar sendiri dari apk nya padahal ngga di apaapain pas masuk lagi malah semua datadatanya pada ilang gimana nih min tolong dong ini saya gimana mau ngikutin perkuliahan sekarang sudah jadi,"['kok', 'akun', 'saya', 'tibatiba', 'keluar', 'sendiri', 'dari', 'apk', 'nya', 'padahal', 'ngga', 'di', 'apaapain', 'pas', 'masuk', 'lagi', 'malah', 'semua', 'datadatanya', 'pada', 'ilang', 'gimana', 'nih', 'min', 'tolong', 'dong', 'ini', 'saya', 'gimana', 'mau', 'ngikutin', 'perkuliahan', 'sekarang', 'sudah', 'jadi']"
Cs nya bagus cepat dan tanggap👍👍👍,cs nya bagus cepat dan tanggap,"['cs', 'nya', 'bagus', 'cepat', 'dan', 'tanggap']"
"Sudah oke. Namun masih bug. Bug nya adalah: saya login sbg dosen. Lalu create schedulled meeting room utk sabtu jam 16.00. Meeting singkron dgn google kalendar, tapi schedule di kalendar nya malah muncul untuk hari ini jam 16.00.",sudah oke namun masih bug bug nya adalah saya login sbg dosen lalu create schedulled meeting room utk sabtu jam  meeting singkron dgn google kalendar tapi schedule di kalendar nya malah muncul untuk hari ini jam,"['sudah', 'oke', 'namun', 'masih', 'bug', 'bug', 'nya', 'adalah', 'saya', 'login', 'sbg', 'dosen', 'lalu', 'create', 'schedulled', 'meeting', 'room', 'utk', 'sabtu', 'jam', 'meeting', 'singkron', 'dgn', 'google', 'kalendar', 'tapi', 'schedule', 'di', 'kalendar', 'nya', 'malah', 'muncul', 'untuk', 'hari', 'ini', 'jam']"
ga ada yg bisa kami akan bantu ya no mt tepatin ini eeee req RT ya rabb eeee eeeeeeeeeeeeertrre errr error Ree rumah sakit te rezeki kita sebenarnya r by the way you ewh ee nakal ya,ga ada yg bisa kami akan bantu ya no mt tepatin ini eeee req ya rabb eeee eeeeeeeeeeeeertrre errr error ree rumah sakit te rezeki kita sebenarnya r by the way you ewh ee nakal ya,"['ga', 'ada', 'yg', 'bisa', 'kami', 'akan', 'bantu', 'ya', 'no', 'mt', 'tepatin', 'ini', 'eeee', 'req', 'ya', 'rabb', 'eeee', 'eeeeeeeeeeeeertrre', 'errr', 'error', 'ree', 'rumah', 'sakit', 'te', 'rezeki', 'kita', 'sebenarnya', 'r', 'by', 'the', 'way', 'you', 'ewh', 'ee', 'nakal', 'ya']"
Very Good,very good,"['very', 'good']"
Hallo kak saya punya ni tidak bisa dibuka lagi itu kendalanya apa yah kak??minta bantuannya kak🙏🙏,hallo kak saya punya ni tidak bisa dibuka lagi itu kendalanya apa yah kakminta bantuannya kak,"['hallo', 'kak', 'saya', 'punya', 'ni', 'tidak', 'bisa', 'dibuka', 'lagi', 'itu', 'kendalanya', 'apa', 'yah', 'kakminta', 'bantuannya', 'kak']"
